alias_name,alias_normalized,node_id,canonical_name,entity_type,cse_symbol
Haycarb PLC,HAYCARB PLC,COMPANY::HAYC,HAYCARB PLC,LISTED_COMPANY,HAYC
ASIRI HOSPITAL HOLDINGS PLC,ASIRI HOSPITAL HOLDINGS PLC,COMPANY::ASIR,ASIRI HOSPITAL HOLDINGS PLC,LISTED_COMPANY,ASIR
Softlogic Holdings PLC,SOFTLOGIC HOLDINGS PLC,COMPANY::SHL,SOFTLOGIC HOLDINGS PLC,LISTED_COMPANY,SHL
Asiri Surgical Hospital PLC,ASIRI SURGICAL HOSPITAL PLC,COMPANY::AMSL,ASIRI SURGICAL HOSPITAL PLC,LISTED_COMPANY,AMSL
THE LANKA HOSPITALS CORPORATION PLC,THE LANKA HOSPITALS CORPORATION PLC,COMPANY::LHCL,THE LANKA HOSPITALS CORPORATION PLC,LISTED_COMPANY,LHCL
Sri Lanka Insurance Corporation Ltd,SRI LANKA INSURANCE CORPORATION LTD,GOVERNMENT::896d86dc28,SRI LANKA INSURANCE CORPORATION LTD,GOVERNMENT,
Sri Lanka Insurance Corporation Ltd,SRI LANKA INSURANCE CORPORATION LTD,UNLISTED_COMPANY::eff62f08d1,SRI LANKA INSURANCE CORPORATION LTD,UNLISTED_COMPANY,
Lanka Hospitals Diagnostics (Pvt) Ltd,LANKA HOSPITALS DIAGNOSTICS PVT LTD,UNLISTED_COMPANY::c7f9d0f628,LANKA HOSPITALS DIAGNOSTICS PVT LTD,UNLISTED_COMPANY,
ASIRI SURGICAL HOSPITAL PLC,ASIRI SURGICAL HOSPITAL PLC,COMPANY::AMSL,ASIRI SURGICAL HOSPITAL PLC,LISTED_COMPANY,AMSL
Asiri Hospital Holdings PLC,ASIRI HOSPITAL HOLDINGS PLC,COMPANY::ASIR,ASIRI HOSPITAL HOLDINGS PLC,LISTED_COMPANY,ASIR
CEYLON HOSPITALS PLC (DURDANS),CEYLON HOSPITALS PLC DURDANS,COMPANY::CHL,CEYLON HOSPITALS PLC DURDANS,LISTED_COMPANY,CHL
Durdans Medical and Surgical Hospital (Pvt) Ltd,DURDANS MEDICAL AND SURGICAL HOSPITAL PVT LTD,UNLISTED_COMPANY::5eb8b2ba78,DURDANS MEDICAL AND SURGICAL HOSPITAL PVT LTD,UNLISTED_COMPANY,
PALM GARDEN HOTELS PLC,PALM GARDEN HOTELS PLC,COMPANY::PALM,PALM GARDEN HOTELS PLC,LISTED_COMPANY,PALM
Browns Investments PLC,BROWNS INVESTMENTS PLC,COMPANY::BIL,BROWNS INVESTMENTS PLC,LISTED_COMPANY,BIL
Eden Hotel Lanka PLC,EDEN HOTEL LANKA PLC,COMPANY::EDEN,EDEN HOTEL LANKA PLC,LISTED_COMPANY,EDEN
EDEN HOTEL LANKA PLC,EDEN HOTEL LANKA PLC,COMPANY::EDEN,EDEN HOTEL LANKA PLC,LISTED_COMPANY,EDEN
Palm Garden Hotels PLC,PALM GARDEN HOTELS PLC,COMPANY::PALM,PALM GARDEN HOTELS PLC,LISTED_COMPANY,PALM
AITKEN SPENCE HOTEL HOLDINGS PLC,AITKEN SPENCE HOTEL HOLDINGS PLC,COMPANY::AHUN,AITKEN SPENCE HOTEL HOLDINGS PLC,LISTED_COMPANY,AHUN
Aitken Spence PLC,AITKEN SPENCE PLC,COMPANY::SPEN,AITKEN SPENCE PLC,LISTED_COMPANY,SPEN
BROWNS BEACH HOTELS PLC,BROWNS BEACH HOTELS PLC,COMPANY::BBH,BROWNS BEACH HOTELS PLC,LISTED_COMPANY,BBH
HAYLEYS LEISURE PLC,HAYLEYS LEISURE PLC,COMPANY::CONN,HAYLEYS LEISURE PLC,LISTED_COMPANY,CONN
The Kingsbury PLC,THE KINGSBURY PLC,COMPANY::SERV,THE KINGSBURY PLC,LISTED_COMPANY,SERV
THE FORTRESS RESORTS PLC,THE FORTRESS RESORTS PLC,LISTED_COMPANY::7dbf8df891,THE FORTRESS RESORTS PLC,LISTED_COMPANY,
GALADARI HOTELS (LANKA) PLC,GALADARI HOTELS LANKA PLC,COMPANY::GHLL,GALADARI HOTELS LANKA PLC,LISTED_COMPANY,GHLL
Galadari Brothers Co. LLC,GALADARI BROTHERS CO LLC,UNLISTED_COMPANY::c5d9eaa3c4,GALADARI BROTHERS CO LLC,UNLISTED_COMPANY,
Galadari Brothers Co. LLC,GALADARI BROTHERS CO LLC,PERSON::aff9eb06c9,GALADARI BROTHERS CO LLC,PERSON,
HOTEL DEVELOPERS (LANKA) PLC,HOTEL DEVELOPERS LANKA PLC,LISTED_COMPANY::c726778227,HOTEL DEVELOPERS LANKA PLC,LISTED_COMPANY,
THE KINGSBURY PLC,THE KINGSBURY PLC,COMPANY::SERV,THE KINGSBURY PLC,LISTED_COMPANY,SERV
Hayleys Leisure PLC,HAYLEYS LEISURE PLC,COMPANY::CONN,HAYLEYS LEISURE PLC,LISTED_COMPANY,CONN
HOTEL SIGIRIYA PLC,HOTEL SIGIRIYA PLC,COMPANY::HSIG,HOTEL SIGIRIYA PLC,LISTED_COMPANY,HSIG
CEYLON HOTELS CORPORATION PLC,CEYLON HOTELS CORPORATION PLC,COMPANY::CHOT,CEYLON HOTELS CORPORATION PLC,LISTED_COMPANY,CHOT
Galle Face Hotel Group,GALLE FACE HOTEL GROUP,UNLISTED_COMPANY::bd97edb4dc,GALLE FACE HOTEL GROUP,UNLISTED_COMPANY,
Galle Face Hotel Group,GALLE FACE HOTEL GROUP,PERSON::5c928988ad,GALLE FACE HOTEL GROUP,PERSON,
The Kandy Hotels Company (1938) PLC,THE KANDY HOTELS COMPANY 1938 PLC,COMPANY::KHC,THE KANDY HOTELS COMPANY 1938 PLC,LISTED_COMPANY,KHC
HUNAS HOLDINGS PLC,HUNAS HOLDINGS PLC,COMPANY::HUNA,HUNAS HOLDINGS PLC,LISTED_COMPANY,HUNA
Serenity Group,SERENITY GROUP,UNLISTED_COMPANY::cfa49ca659,SERENITY GROUP,UNLISTED_COMPANY,
Serenity Group,SERENITY GROUP,PERSON::c1aaa8535c,SERENITY GROUP,PERSON,
THE KANDY HOTELS COMPANY (1938) PLC,THE KANDY HOTELS COMPANY 1938 PLC,COMPANY::KHC,THE KANDY HOTELS COMPANY 1938 PLC,LISTED_COMPANY,KHC
Ceylon Hotels Corporation PLC,CEYLON HOTELS CORPORATION PLC,COMPANY::CHOT,CEYLON HOTELS CORPORATION PLC,LISTED_COMPANY,CHOT
THE LIGHTHOUSE HOTEL PLC,THE LIGHTHOUSE HOTEL PLC,COMPANY::LHL,THE LIGHTHOUSE HOTEL PLC,LISTED_COMPANY,LHL
Jetwing Hotels Management Services (Pvt) Ltd,JETWING HOTELS MANAGEMENT SERVICES PVT LTD,UNLISTED_COMPANY::d29299313a,JETWING HOTELS MANAGEMENT SERVICES PVT LTD,UNLISTED_COMPANY,
MAHAWELI REACH HOTELS PLC,MAHAWELI REACH HOTELS PLC,COMPANY::MRH,MAHAWELI REACH HOTELS PLC,LISTED_COMPANY,MRH
Universal Enterprises Pvt Ltd,UNIVERSAL ENTERPRISES PVT LTD,UNLISTED_COMPANY::53425eb484,UNIVERSAL ENTERPRISES PVT LTD,UNLISTED_COMPANY,
JOHN KEELLS HOTELS PLC,JOHN KEELLS HOTELS PLC,COMPANY::KHL,JOHN KEELLS HOTELS PLC,LISTED_COMPANY,KHL
Trans Asia Hotels PLC,TRANS ASIA HOTELS PLC,COMPANY::TRAN,TRANS ASIA HOTELS PLC,LISTED_COMPANY,TRAN
Asian Hotels and Properties PLC,ASIAN HOTELS AND PROPERTIES PLC,COMPANY::AHPL,ASIAN HOTELS AND PROPERTIES PLC,LISTED_COMPANY,AHPL
THE NUWARA ELIYA HOTELS COMPANY PLC,THE NUWARA ELIYA HOTELS COMPANY PLC,COMPANY::NEH,THE NUWARA ELIYA HOTELS COMPANY PLC,LISTED_COMPANY,NEH
Mercantile Investments and Finance PLC,MERCANTILE INVESTMENTS AND FINANCE PLC,COMPANY::MERC,MERCANTILE INVESTMENTS AND FINANCE PLC,LISTED_COMPANY,MERC
PEGASUS HOTELS OF CEYLON PLC,PEGASUS HOTELS OF CEYLON PLC,COMPANY::PEG,PEGASUS HOTELS OF CEYLON PLC,LISTED_COMPANY,PEG
LANKA WALLTILES PLC,LANKA WALLTILES PLC,COMPANY::LWL,LANKA WALLTILES PLC,LISTED_COMPANY,LWL
Royal Ceramics Lanka PLC,ROYAL CERAMICS LANKA PLC,COMPANY::RCL,ROYAL CERAMICS LANKA PLC,LISTED_COMPANY,RCL
Lanka Tiles PLC,LANKA TILES PLC,COMPANY::TILE,LANKA TILES PLC,LISTED_COMPANY,TILE
Lanka Ceramic PLC,LANKA CERAMIC PLC,COMPANY::CERA,LANKA CERAMIC PLC,LISTED_COMPANY,CERA
LANKA TILES PLC,LANKA TILES PLC,COMPANY::TILE,LANKA TILES PLC,LISTED_COMPANY,TILE
Lanka Walltiles PLC,LANKA WALLTILES PLC,COMPANY::LWL,LANKA WALLTILES PLC,LISTED_COMPANY,LWL
LANKA ALUMINIUM INDUSTRIES PLC,LANKA ALUMINIUM INDUSTRIES PLC,COMPANY::LALU,LANKA ALUMINIUM INDUSTRIES PLC,LISTED_COMPANY,LALU
Clovis Company Limited,CLOVIS COMPANY LTD,UNLISTED_COMPANY::6e2ecfc7f6,CLOVIS COMPANY LTD,UNLISTED_COMPANY,
LANKA CERAMIC PLC,LANKA CERAMIC PLC,COMPANY::CERA,LANKA CERAMIC PLC,LISTED_COMPANY,CERA
PRINTCARE PLC,PRINTCARE PLC,COMPANY::CARE,PRINTCARE PLC,LISTED_COMPANY,CARE
MJF Holdings,MJF HOLDINGS,UNLISTED_COMPANY::2a6ddfe1ab,MJF HOLDINGS,UNLISTED_COMPANY,
REGNIS(LANKA) PLC,REGNIS LANKA PLC,COMPANY::REG,REGNIS LANKA PLC,LISTED_COMPANY,REG
Singer (Sri Lanka) PLC,SINGER (SRI LANKA) PLC,COMPANY::SINS,SINGER (SRI LANKA) PLC,LISTED_COMPANY,SINS
SINGER INDUSTRIES (CEYLON) PLC,SINGER INDUSTRIES CEYLON PLC,COMPANY::SINI,SINGER INDUSTRIES CEYLON PLC,LISTED_COMPANY,SINI
SIERRA CABLES PLC,SIERRA CABLES PLC,COMPANY::SIRA,SIERRA CABLES PLC,LISTED_COMPANY,SIRA
SWADESHI INDUSTRIAL WORKS PLC,SWADESHI INDUSTRIAL WORKS PLC,COMPANY::SWAD,SWADESHI INDUSTRIAL WORKS PLC,LISTED_COMPANY,SWAD
Ms. A. M. Wijewardene,A M WIJEWARDENE,PERSON::536e71c8a2,A M WIJEWARDENE,PERSON,
SAMSON INTERNATIONAL PLC,SAMSON INTERNATIONAL PLC,LISTED_COMPANY::bd28f054ab,SAMSON INTERNATIONAL PLC,LISTED_COMPANY,
DSI Samson Group,DSI SAMSON GROUP,UNLISTED_COMPANY::60b0af7c5e,DSI SAMSON GROUP,UNLISTED_COMPANY,
DSI Samson Group,DSI SAMSON GROUP,PERSON::40e3056cf3,DSI SAMSON GROUP,PERSON,
UNISYST ENGINEERING PLC,UNISYST ENGINEERING PLC,COMPANY::ALUF,UNISYST ENGINEERING PLC,LISTED_COMPANY,ALUF
Hayleys Advantis Limited,HAYLEYS ADVANTIS LTD,UNLISTED_COMPANY::b799d32e38,HAYLEYS ADVANTIS LTD,UNLISTED_COMPANY,
ROYAL CERAMICS LANKA PLC,ROYAL CERAMICS LANKA PLC,COMPANY::RCL,ROYAL CERAMICS LANKA PLC,LISTED_COMPANY,RCL
INDO MALAY PLC,INDO MALAY PLC,COMPANY::INDO,INDO MALAY PLC,LISTED_COMPANY,INDO
TOKYO CEMENT COMPANY (LANKA) PLC,TOKYO CEMENT COMPANY LANKA PLC,COMPANY::TKYO,TOKYO CEMENT COMPANY LANKA PLC,LISTED_COMPANY,TKYO
Nippon Coke & Engineering Co. Ltd,NIPPON COKE AND ENGINEERING CO LTD,UNLISTED_COMPANY::4dc8f03341,NIPPON COKE AND ENGINEERING CO LTD,UNLISTED_COMPANY,
St. Anthony's Consolidated (Pvt) Ltd,ST ANTHONY'S CONSOLIDATED PVT LTD,UNLISTED_COMPANY::c207dd3839,ST ANTHONY'S CONSOLIDATED PVT LTD,UNLISTED_COMPANY,
Fuji Cement Company (Lanka) Limited,FUJI CEMENT COMPANY LANKA LTD,UNLISTED_COMPANY::a798459b0b,FUJI CEMENT COMPANY LANKA LTD,UNLISTED_COMPANY,
ASIAN HOTELS & PROPERTIES PLC,ASIAN HOTELS AND PROPERTIES PLC,COMPANY::AHPL,ASIAN HOTELS AND PROPERTIES PLC,LISTED_COMPANY,AHPL
SELINSING PLC,SELINSING PLC,COMPANY::SELI,SELINSING PLC,LISTED_COMPANY,SELI
C M HOLDINGS PLC,C M HOLDINGS PLC,LISTED_COMPANY::e6b70dfd09,C M HOLDINGS PLC,LISTED_COMPANY,
Colonial Motors (Ceylon) Ltd,COLONIAL MOTORS CEYLON LTD,UNLISTED_COMPANY::6dd3834383,COLONIAL MOTORS CEYLON LTD,UNLISTED_COMPANY,
LANKA ASHOK LEYLAND PLC,LANKA ASHOK LEYLAND PLC,COMPANY::ASHO,LANKA ASHOK LEYLAND PLC,LISTED_COMPANY,ASHO
Ashok Leyland Limited (India),ASHOK LEYLAND LTD INDIA,UNLISTED_COMPANY::657971d1be,ASHOK LEYLAND LTD INDIA,UNLISTED_COMPANY,
SHALIMAR (MALAY) PLC,SHALIMAR MALAY PLC,COMPANY::SHAL,SHALIMAR MALAY PLC,LISTED_COMPANY,SHAL
BOGAWANTALAWA TEA ESTATES PLC,BOGAWANTALAWA TEA ESTATES PLC,COMPANY::BOPL,BOGAWANTALAWA TEA ESTATES PLC,LISTED_COMPANY,BOPL
Metropolitan Resource Holdings PLC,METROPOLITAN RESOURCE HOLDINGS PLC,UNLISTED_COMPANY::d00f3be584,METROPOLITAN RESOURCE HOLDINGS PLC,UNLISTED_COMPANY,
SATHOSA MOTORS PLC,SATHOSA MOTORS PLC,COMPANY::SMOT,SATHOSA MOTORS PLC,LISTED_COMPANY,SMOT
Access Engineering PLC,ACCESS ENGINEERING PLC,COMPANY::AEL,ACCESS ENGINEERING PLC,LISTED_COMPANY,AEL
AGALAWATTE PLANTATIONS PLC,AGALAWATTE PLANTATIONS PLC,COMPANY::AGAL,AGALAWATTE PLANTATIONS PLC,LISTED_COMPANY,AGAL
Damro Group,DAMRO GROUP,UNLISTED_COMPANY::4e43265794,DAMRO GROUP,UNLISTED_COMPANY,
Damro Group,DAMRO GROUP,PERSON::13dbf66c95,DAMRO GROUP,PERSON,
UNITED MOTORS LANKA PLC,UNITED MOTORS LANKA PLC,COMPANY::UML,UNITED MOTORS LANKA PLC,LISTED_COMPANY,UML
R I L Property PLC,R I L PROPERTY PLC,COMPANY::RIL,R I L PROPERTY PLC,LISTED_COMPANY,RIL
Unimo Enterprises Ltd,UNIMO ENTERPRISES LTD,UNLISTED_COMPANY::0670390e12,UNIMO ENTERPRISES LTD,UNLISTED_COMPANY,
DIESEL & MOTOR ENGINEERING PLC,DIESEL AND MOTOR ENGINEERING PLC,COMPANY::DIMO,DIESEL AND MOTOR ENGINEERING PLC,LISTED_COMPANY,DIMO
Amaliya (Pvt) Ltd,AMALIYA PVT LTD,UNLISTED_COMPANY::8e1e76f188,AMALIYA PVT LTD,UNLISTED_COMPANY,
HORANA PLANTATIONS PLC,HORANA PLANTATIONS PLC,COMPANY::HOPL,HORANA PLANTATIONS PLC,LISTED_COMPANY,HOPL
Vallibel Plantation Management Limited,VALLIBEL PLANTATION MANAGEMENT LTD,UNLISTED_COMPANY::fb738e8f06,VALLIBEL PLANTATION MANAGEMENT LTD,UNLISTED_COMPANY,
FIRST CAPITAL HOLDINGS PLC,FIRST CAPITAL HOLDINGS PLC,COMPANY::CFVF,FIRST CAPITAL HOLDINGS PLC,LISTED_COMPANY,CFVF
Janashakthi PLC,JANASHAKTHI PLC,UNLISTED_COMPANY::5d6ae61340,JANASHAKTHI PLC,UNLISTED_COMPANY,
First Capital Treasuries PLC,FIRST CAPITAL TREASURIES PLC,COMPANY::FCT,FIRST CAPITAL TREASURIES PLC,LISTED_COMPANY,FCT
ELPITIYA PLANTATIONS PLC,ELPITIYA PLANTATIONS PLC,LISTED_COMPANY::52042b7602,ELPITIYA PLANTATIONS PLC,LISTED_COMPANY,
Aitken Spence Plantation Managements PLC,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,COMPANY::ASPM,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,LISTED_COMPANY,ASPM
BALANGODA PLANTATIONS PLC,BALANGODA PLANTATIONS PLC,COMPANY::BALA,BALANGODA PLANTATIONS PLC,LISTED_COMPANY,BALA
KELANI VALLEY PLANTATIONS PLC,KELANI VALLEY PLANTATIONS PLC,COMPANY::KVAL,KELANI VALLEY PLANTATIONS PLC,LISTED_COMPANY,KVAL
KEGALLE PLANTATIONS PLC,KEGALLE PLANTATIONS PLC,COMPANY::KGAL,KEGALLE PLANTATIONS PLC,LISTED_COMPANY,KGAL
RPC Plantation Management Services (Pvt) Ltd,RPC PLANTATION MANAGEMENT SERVICES PVT LTD,UNLISTED_COMPANY::41df0b4003,RPC PLANTATION MANAGEMENT SERVICES PVT LTD,UNLISTED_COMPANY,
HAPUGASTENNE PLANTATIONS PLC,HAPUGASTENNE PLANTATIONS PLC,COMPANY::HAPU,HAPUGASTENNE PLANTATIONS PLC,LISTED_COMPANY,HAPU
Browns Plantations,BROWNS PLANTATIONS,UNLISTED_COMPANY::aa769400ad,BROWNS PLANTATIONS,UNLISTED_COMPANY,
Browns Plantations,BROWNS PLANTATIONS,PERSON::f1f3bd9f9e,BROWNS PLANTATIONS,PERSON,
KAHAWATTE PLANTATIONS PLC,KAHAWATTE PLANTATIONS PLC,COMPANY::KAHA,KAHAWATTE PLANTATIONS PLC,LISTED_COMPANY,KAHA
Forbes & Walker Ltd / MJF Group,FORBES AND WALKER LTD MJF GROUP,UNLISTED_COMPANY::a57862814e,FORBES AND WALKER LTD MJF GROUP,UNLISTED_COMPANY,
MJF Group,MJF GROUP,PERSON::1b7b5b1ca5,MJF GROUP,PERSON,
THE AUTODROME PLC,THE AUTODROME PLC,COMPANY::AUTO,THE AUTODROME PLC,LISTED_COMPANY,AUTO
KOTAGALA PLANTATIONS PLC,KOTAGALA PLANTATIONS PLC,COMPANY::KOTA,KOTAGALA PLANTATIONS PLC,LISTED_COMPANY,KOTA
Consolidated Tea Plantations Ltd,CONSOLIDATED TEA PLANTATIONS LTD,UNLISTED_COMPANY::d272e6d6f0,CONSOLIDATED TEA PLANTATIONS LTD,UNLISTED_COMPANY,
MALWATTE VALLEY PLANTATIONS PLC,MALWATTE VALLEY PLANTATIONS PLC,COMPANY::MAL,MALWATTE VALLEY PLANTATIONS PLC,LISTED_COMPANY,MAL
Wayamba Plantation (Pvt) Ltd,WAYAMBA PLANTATION PVT LTD,UNLISTED_COMPANY::adf6b1e26a,WAYAMBA PLANTATION PVT LTD,UNLISTED_COMPANY,
LANKA IOC PLC,LANKA IOC PLC,COMPANY::LIOC,LANKA IOC PLC,LISTED_COMPANY,LIOC
Indian Oil Corporation Limited,INDIAN OIL CORPORATION LTD,UNLISTED_COMPANY::cc7b5c590e,INDIAN OIL CORPORATION LTD,UNLISTED_COMPANY,
JOHN KEELLS PLC,JOHN KEELLS PLC,LISTED_COMPANY::a151a990fe,JOHN KEELLS PLC,LISTED_COMPANY,
MASKELIYA PLANTATIONS PLC,MASKELIYA PLANTATIONS PLC,COMPANY::MASK,MASKELIYA PLANTATIONS PLC,LISTED_COMPANY,MASK
RPC Management Services (Pvt) Ltd,RPC MANAGEMENT SERVICES PVT LTD,UNLISTED_COMPANY::2b3950d808,RPC MANAGEMENT SERVICES PVT LTD,UNLISTED_COMPANY,
UDAPUSSELLAWA PLANTATIONS PLC,UDAPUSSELLAWA PLANTATIONS PLC,LISTED_COMPANY::e08846534f,UDAPUSSELLAWA PLANTATIONS PLC,LISTED_COMPANY,
TALAWAKELLE TEA ESTATES PLC,TALAWAKELLE TEA ESTATES PLC,LISTED_COMPANY::a9ad6eb25e,TALAWAKELLE TEA ESTATES PLC,LISTED_COMPANY,
