edge_id,source_node_id,target_node_id,relationship_type,ownership_percentage,share_count,source_url,confidence,report_company,report_symbol,data_source_date,evidence,needs_review
5d21578d62d44763c1be0da6a22563f3,PERSON::e7289608b1,COMPANY::ALLI,OWNS,35.22,11867851.0,https://www.alliancefinance.lk/wp-content/uploads/2024/02/Interim-FS-Dec-2023-Final.pdf,0.98,ALLIANCE FINANCE COMPANY PLC,ALLI,2023-12-31,major_shareholders,False
cd594032b91d0f6dbd986751ef556da9,COMPANY::SCAP,COMPANY::AAIC,OWNS,51.72,161367187.0,https://softlogiclife.lk/wp-content/uploads/sites/3/2025/02/Softlogic-Life-Interim-Financials-24-25-Q4.pdf,0.95,SOFTLOGIC LIFE INSURANCE PLC,AAIC,2024-12-31,major_shareholders,False
00c69faa042f09a2792d769199dea3aa,COMPANY::SCAP,COMPANY::AAIC,PARENT_OF,51.72,,https://softlogiclife.lk/wp-content/uploads/sites/3/2025/02/Softlogic-Life-Interim-Financials-24-25-Q4.pdf,0.95,SOFTLOGIC LIFE INSURANCE PLC,AAIC,2024-12-31,parent_company,False
ac9a98de07794fb532cdf85d6317331d,COMPANY::AAIC,UNLISTED_COMPANY::8ded54d8f5,SUBSIDIARY_OF,100.0,,https://cdn.cse.lk/cmt/upload_report_file/1100_1763123170457.pdf,0.95,SOFTLOGIC LIFE INSURANCE PLC,AAIC,2024-12-31,subsidiaries,False
524c69ceada01e5a6b3cfe6a75b34845,COMPANY::AMF,LISTED_COMPANY::fce93b8fd8,OWNS,100.0,,https://amf.lk/our-history/,0.99,ARPICO FINANCE COMPANY PLC,ARPI,2021-04-01,major_shareholders,False
4492366e8be80ef5c29e68a9a2994cd5,COMPANY::AMF,LISTED_COMPANY::fce93b8fd8,PARENT_OF,100.0,,https://amf.lk/our-history/,0.99,ARPICO FINANCE COMPANY PLC,ARPI,2021-04-01,parent_company,False
b06d601ccf29b97acd757690894c61ef,COMPANY::HNB,COMPANY::HASU,OWNS,59.99,,https://www.hnbassurance.com/,0.9,HNB LIFE PLC,HASU,2024-12-31,major_shareholders,False
6d97380db34fe5eeb2531693469d4a27,COMPANY::HNB,COMPANY::HASU,PARENT_OF,59.99,,https://www.hnbassurance.com/,0.9,HNB LIFE PLC,HASU,2024-12-31,parent_company,False
82e38502049ecdc88807c5dcc8ba9916,COMPANY::HASU,UNLISTED_COMPANY::13fedb315d,SUBSIDIARY_OF,100.0,,https://www.hnbassurance.com/,0.9,HNB LIFE PLC,HASU,2024-12-31,subsidiaries,False
83d24a1e70cca2063df1acbbf410179d,COMPANY::HNB,COMPANY::HASU,SUBSIDIARY_OF,59.99,,https://www.hnb.net/,0.95,HATTON NATIONAL BANK PLC,HNB,2025-12-31,subsidiaries,False
